site_name,latitude,longitude,site_type
Koramangala 5th Block,12.9352,77.6193,Commercial Hub
Indiranagar 100 Feet Road,12.9716,77.6412,Shopping District
Whitefield ITPL,12.9899,77.7461,IT Park
Electronic City Phase 1,12.8458,77.6603,Industrial Zone
Jayanagar 4th Block,12.9250,77.5833,Residential
MG Road Metro Station,12.9756,77.6069,Transit Hub
Marathahalli Bridge,12.9591,77.7011,Commercial
Bannerghatta Road,12.8892,77.5953,Mixed Use
Hebbal Flyover,13.0358,77.5970,Transit Hub
Yeshwanthpur Metro,13.0280,77.5370,Transit Hub
Silk Board Junction,12.9177,77.6226,Commercial
HSR Layout Sector 1,12.9116,77.6410,Residential
BTM Layout 2nd Stage,12.9165,77.6101,Residential
Malleshwaram 8th Cross,13.0067,77.5704,Residential
Rajajinagar Metro,12.9900,77.5520,Transit Hub
Yelahanka New Town,13.1007,77.5963,Residential
Sarjapur Road,12.9121,77.6871,IT Corridor
Outer Ring Road Marathahalli,12.9563,77.6978,Commercial
Bellandur ORR,12.9266,77.6780,IT Corridor
Hosur Road Electronic City,12.8398,77.6771,Industrial Zone
Kanakapura Road,12.8850,77.5650,Residential
Tumkur Road,13.0450,77.5200,Highway
Old Airport Road,12.9570,77.6650,Commercial
Cunningham Road,12.9950,77.5950,Commercial
Brigade Road,12.9716,77.6081,Shopping District
Residency Road,12.9716,77.6081,Commercial
Richmond Road,12.9650,77.6050,Residential
Ulsoor Lake Area,12.9810,77.6210,Residential
Frazer Town,12.9890,77.6180,Residential
Kammanahalli Main Road,13.0120,77.6380,Residential
Kalyan Nagar,13.0280,77.6390,Residential
Hennur Main Road,13.0350,77.6450,Residential
Nagawara,13.0450,77.6050,Residential
Thanisandra Main Road,13.0550,77.6550,Residential
Manyata Tech Park,13.0470,77.6200,IT Park
Nagarbhavi,12.9580,77.5020,Residential
Vijayanagar,12.9750,77.5350,Residential
Basaveshwaranagar,12.9880,77.5480,Residential
Peenya Industrial Area,13.0300,77.5200,Industrial Zone
Jalahalli,13.0400,77.5500,Residential
